SELIG S1223
  1.0000000  0.0000000
  0.9983800  0.0012600
  0.9941700  0.0049400
  0.9882500  0.0103700
  0.9807500  0.0164600
  0.9711100  0.0225000
  0.9588400  0.0285300
  0.9438900  0.0347600
  0.9263900  0.0411600
  0.9064100  0.0476800
  0.8840600  0.0542700
  0.8594700  0.0608900
  0.8327700  0.0674900
  0.8041200  0.0740200
  0.7736900  0.0804400
  0.7416600  0.0867100
  0.7082300  0.0927700
  0.6736000  0.0985900
  0.6379800  0.1041200
  0.6015800  0.1093500
  0.5646500  0.1142500
  0.5274400  0.1188100
  0.4902500  0.1230300
  0.4534000  0.1268300
  0.4172100  0.1301100
  0.3819300  0.1327100
  0.3477700  0.1344700
  0.3148800  0.1352600
  0.2834700  0.1350500
  0.2537000  0.1334600
  0.2254100  0.1303700
  0.1984600  0.1259400
  0.1728600  0.1202600
  0.1486300  0.1135500
  0.1259100  0.1059800
  0.1048200  0.0977000
  0.0854500  0.0887900
  0.0678900  0.0794000
  0.0522300  0.0696500
  0.0385500  0.0596800
  0.0269400  0.0496600
  0.0175500  0.0396100
  0.0102800  0.0295400
  0.0049500  0.0196900
  0.0015500  0.0103300
  0.0000500  0.0017800
  0.0004400 -0.0056100
  0.0026400 -0.0112000
  0.0078900 -0.0142700
  0.0171800 -0.0155000
  0.0300600 -0.0158400
  0.0462700 -0.0153200
  0.0656100 -0.0140400
  0.0878700 -0.0120200
  0.1128200 -0.0092500
  0.1402000 -0.0056300
  0.1700600 -0.0007500
  0.2027800  0.0053500
  0.2384000  0.0121300
  0.2767300  0.0192800
  0.3175000  0.0265200
  0.3604400  0.0335800
  0.4051900  0.0402100
  0.4513900  0.0461800
  0.4986000  0.0512900
  0.5463900  0.0553400
  0.5942800  0.0582000
  0.6417600  0.0597600
  0.6883200  0.0599400
  0.7334400  0.0587200
  0.7766000  0.0561200
  0.8172900  0.0521900
  0.8550000  0.0470600
  0.8892800  0.0408800
  0.9196600  0.0338700
  0.9457300  0.0262400
  0.9669300  0.0182200
  0.9825500  0.0106000
  0.9926800  0.0046800
  0.9982500  0.0011500
  1.0000000  0.0000000
